Ref,Val,Package,PosX,PosY,Rot,Side
"LED1","Inidcator INA","CHIPLED_0805",145.501100,-98.003600,270.000000,top
"LED2","Indicator INB","CHIPLED_0805",145.429500,-108.890400,270.000000,top
"LED3","Indicator OUTC","CHIPLED_0805",164.501100,-103.003600,180.000000,top
"Q1","N-Channel","SOT23",141.501100,-101.003600,270.000000,top
"Q2","N-Channel","SOT23",158.501100,-109.003600,270.000000,top
"Q3","N-Channel","SOT23",158.501100,-101.003600,270.000000,top
"Q4","P-Channel","SOT23",145.501100,-101.003600,270.000000,top
"Q5","P-Channel","SOT23",153.501100,-109.003600,270.000000,top
"Q6","P-Channel","SOT23",153.501100,-101.003600,270.000000,top
"Q7","N-Channel","SOT23",141.501100,-105.003600,270.000000,top
"Q8","P-Channel","SOT23",145.501100,-105.003600,270.000000,top
"Q9","P-Channel","SOT23",158.501100,-105.003600,270.000000,top
"Q10","P-Channel","SOT23",158.501100,-97.003600,270.000000,top
"Q11","N-Channel","SOT23",153.501100,-97.003600,270.000000,top
"Q12","N-channel","SOT23",153.501100,-105.003600,270.000000,top
"R1","TBD","R0603",136.501100,-99.003600,0.000000,top
"R2","TBD","R0603",136.501100,-101.003600,0.000000,top
"R3","TBD","R0603",136.501100,-103.003600,0.000000,top
"R4","TBD","R0603",136.501100,-105.003600,0.000000,top
"R5","TBD","R0603",149.501100,-101.003600,0.000000,top
"R6","TBD","R0603",149.501100,-105.003600,0.000000,top
"R7","TBD","R0603",136.501100,-107.003600,180.000000,top
"R8","220R","R0603",141.313900,-98.003600,0.000000,top
"R9","220R","R0603",141.021100,-108.893600,0.000000,top
"R10","220R","R0603",162.501100,-103.003600,90.000000,top
